Produk,Review,Rating
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,Packingannya kurang aman krn tdk ada bubble atau kardusnya . lngsung dtumpuk dkresek sperti yg digambar. Untung g ad yg pecah . tp ad 1 yg lecet,4
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,barang nya bagus walaupun pas nyampe sini agak bengkok dikit (karena pengiriman) tapi bisa diperbaiki kok thank youuu,4
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,Masa saya beli dengan keadaan pecah kacanya apa yg mau saya pakai sama aja saya beli barang rongsok? ,1
Zelin Kacamata Tony Stark Bentuk Kotak Desain Iron Man Spiderman Edith untuk Pria / Wanita,Paket sudah di terima barang sesuai pesanan. Kacamata hitam Tony Stark. semua bagus . pengiriman cepat dari luar negeri. Kurir baik seller amanah,5
Kacamata Locs Mafio Gangsta Size Medium,Masih suka dengan barangnya . tp berbeda dengan beli sebelumnya packing yng sekarang lebih buruk . tidak dapat kotak . dan lap yng diberikan untuk mengelap kacanya lebih kasar dari pembelian sebelumnya,3
Kacamata Locs Mafio Gangsta Size Medium,Bagus bgt,3
Kacamata Locs Mafio Gangsta Size Medium,bagus sangat recommended,3
Kacamata Locs Mafio Gangsta Size Medium,Kaca matanya patah,3
Kacamata Locs Mafio Gangsta Size Medium,Belum juga ada 1 minggu udah patah,2
Kacamata Locs Mafio Gangsta Size Medium,Kacanya pecah,2
Kacamata Locs Mafio Gangsta Size Medium,ntah kenapa paket sampe keadaannya udah kotor kaya abis jatoh ntah dari kurir dsini atau disana . tapi untungnya pas di cek kondisi kacamata aman gak ada yang patah / rusak .. bagus suka dengan kacamatanya kokoh,4
Kacamata Locs Mafio Gangsta Size Medium,Kaca mata nya jelas keren dan aman dlm kemasan mantap sukses trus yah seller ,4
Kacamata Locs Mafio Gangsta Size Medium,Barang bagus cuma kurir nya agak lambat,1
Kacamata Locs Mafio Gangsta Size Medium,Baru coba beli dsini ok juga barang ny pas bgt ..pengiriman agak sikit lama tp gpp yg penting barang sampai aman sukses y,5
Kacamata Eternity (All Colors),warna oke ga ada yang lecet sama sekali,5
Kacamata Eternity (All Colors),Packingan rapih dan aman pake bubble wrap. Buat kacamatanya bagus dan stylish,4
Kacamata Eternity (All Colors),Agak kekecilan jdi klo order sesuaikan dg ukuran dan bentuk wajah,3
Kacamata Eternity (All Colors),Maaf ga sesuai . tapi pesanan udah diterima. Sayang kacamatanya kekecilan. Jadi agak sempit pas dipake.,3
Kacamata Eternity (All Colors),kecil banget kacamatanya kyk kcamata anak sd,2
Kacamata Eternity (All Colors),Saya pesen yg frame nya transparan satu ko datengnya item duadua nya,2
Kacamata Eternity (All Colors),lumayan murah lah dengan harga segini dapet kacamata yang bagus kaya gini amanah Dateng sesuai pesanan ga nyesel deh beli di toko ini,5
Kacamata Eternity (All Colors),Kacamatanya bagus . tp kayak agak kecil sihh kalo dipake sama org dewasa . packing aman dan semoga semakin amanah yaaa,4
Kacamata Eternity (All Colors),kacanya crack di bagian pojok idk dr pengirimannya atau dari sananya,1
Kacamata Eternity (All Colors),Bagus sesuai gambar... pengiriman cepet... Packingan dijamin aman poll Joss wkwk.. rekomendasi buat di beli,5
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,Maaf aku kasih bintang 3 . karna barang nya tidak ada dalam paket shopee. lain kali lebih teliti ya masukin dan nge-packing barang nya . saya yg rugi kalo bgni mah . padahal udah sering belanja di sini tapi kali ini sedikit kecewa sama pelayananya makasih . aku tetep sering order ke sini kok.,3
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,"maaf sya kecewa dgn toko ini krn sdh yg k 3x pesan dsni dan yg k 2x brg sya tdk d kirimkan dan utk pengembalian dana tdk d respon dgn baik cuma sampai d tny"" dan hny d ulur"" wkt saja sampe sya bosan",3
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,Baret . kayanya bukan karna proses pengiriman deh soalnya plastik kacamata nya masih aman . lain kali lebih di perhatikan,3
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,Pelayanan ny lama . bang kurir ny ramah . packing ny mah ok lah.,3
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,Barang tidak ada tanpa konfirmasi dulu . tapi diganti sama kacamata hitam lancip . jadi double kacamata tsb,2
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,Kirain kacanya warna hitam. Eh taunya warna kuning. Beda ama difotonya,2
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,Barang uda Lama Sampe . Maaf bru smpet ksih review skrg . Kualitas Ok . bagus banget . harga ny murah meriah . pengiriman cpet . respon penjual Ok...,4
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,Packing sih aman pengiriman cepat tapi yg aku bingung disitu keterangannya ungu tua apakah ini ungu tua .ko lebih ke coklat ya,4
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,Tanpa konfirmasi langsung kirim warna yg beda. Minta ajukan pengembalian tapi ga bisa. Walo harga murah tapi harus amanah.,1
Kacamata Fashion Trendy Anak - Kacamata Anak Bulat Kartun Import,Terimakasih produk sudah datang pengiriman cepet pengemasan juga cepat packing bagus tebal bubble wrap nya tebel kacamata nya pake plastik Ples bubble wrap pokonya bagus banget deh terimakasih,5
Kacamata Thug Life Mosaic Pria/Wanita,Aku pesan 2 malah datang 1,3
Kacamata Thug Life Mosaic Pria/Wanita,barang bagus sesuai dengan pesanan,3
Kacamata Thug Life Mosaic Pria/Wanita,penyangganya kadang lepas,3
Kacamata Thug Life Mosaic Pria/Wanita,Pesanan tidak sesuai,3
Kacamata Thug Life Mosaic Pria/Wanita,Yang dipesan kacamata yang datang sarungnya doang.,2
Kacamata Thug Life Mosaic Pria/Wanita,ini tidak sesuai dengan keinginan,2
Kacamata Thug Life Mosaic Pria/Wanita,Bahan plastik . anak ku senang sekali kacamatanya dtg . makasih seller dan kurirnya semoga tetap jaga selalu,4
Kacamata Thug Life Mosaic Pria/Wanita,ini pas banget di pake nya dan nyaman,4
Kacamata Thug Life Mosaic Pria/Wanita,pesen kaca mata yg dtg cmn sarung gak amanah ni toko dasar penipu,1
Kacamata Thug Life Mosaic Pria/Wanita,Luar biasa sesuai menarik dan seneng banget anak saya top,5
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,sesuai harga lah .gk berat dipakai juga ok . tpi ketika dipakai .wrnanya tidak terlalu hitam,3
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,Dengan harga segitu wajar sihh kita ng perlu ekspektasi lebih . ini aja lain yang dipesan yg datang malah beda. Yang datang malah kacamata anak bukan untuk dewasa. Itsokay lah pelajaran untuk kedepannya,3
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,Kualitas sih oke bagus . cmn sayang nya Kaca nya gelap buangets... Jd gak nyaman make nya,3
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,Kualitas produk nya ya standar .sesuai dgn harga yg murah meriahh,3
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,Yg ini lensanya sudah lepas yg warna coklat yg hitam bagus suka bgt . . gagang kacamatanya bagus,2
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,Padahal mesan nya 3 item tapi yang di kirim cuma satu. Maaf banget ngasih bintang nya sedikit. ,2
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,Kacamata nya bagus . tp sayang yg item retak. Lain kali kalo kemas di dobelin bublewarp dong barang nya yg mudah pecah. Sayang bgt padahal,4
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,Barang bagus . packing aman . pengiriman termasuk lama . pokoknya puas belanja di toko ini  . next order disini lagi . thanks seller pertahankan pelayanannya,4
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,Penjual mengecewakan . tidak bisa cancel padahal saya mau order lgi . ganti warna juga ga bisa padahal harga sama . ribet penjualnya,1
Korean Fashion Bulat Mata Kucing Kacamata Hitam Wanita/Pria Sunglasses,Kualitas baik sesuai harga . pengiriman dan pengemasan sangat cepat . seller amanah . baik . dan respond cepat,5
